"notification_type","title","message","email_to"
"Generating QR notification","Download your QR for your visit","<p>This is generated email</p>",""
"Generating QR notification","Download your QR for your visit","<p>Thank you so much for your interest in our georeserve. We however cannot entertain your request [timestamp] at this time due to [reason_for_reject]</p>",""
"Rejected reservation","Reservation rejected","<p>Dear [First Name],</p><p>Your previously requested visit to [Destination] on [date of visit] for [number of guests] guests has been rejected due to [insert reason for rejection here].&nbsp;<br><br>&nbsp;</p><p>Thank you!&nbsp;<br><br>Cheers,</p><p>VISITA Team</p>",""
"Approved reservation","Approved reservation","<p>Your visit request has been approved by the Destination Manager. You may now proceed to your VISITA dashboard to settle the conservation fees via the Pay Now button. You have one (1) day to settle the conservation fees due, otherwise, visit request shall be considered invalid.&nbsp;</p><p>&nbsp;</p><p>Thank you and have a great day!</p><p>&nbsp;</p><p>Best Regards,</p><p>VISITA Team</p>",""
"New booking notification","New booking","<p>This email is auto generated for new reservation. Kindly visit the contact us page of our website and send us an inquiry,&nbsp;</p>",""
"Booking notification","Booking Notification","<p>Booking Notification is auto generated. Kindly visit the contact us page of our website and send us an inquiry,&nbsp;</p>",""
"Reservation Received","Visit Request Received","<p>You have received a new visit request for your destination. Kindly check the Reservations tab of the Admin Dashboard to review the visit request.</p><p>&nbsp;</p><p>Thank you and have a great day!</p><p>&nbsp;</p><p>Best Regards,&nbsp;</p><p>VISITA Team</p>","VISITA"
"Masungi: Reservation Received","Masungi Georeserve: Visit Request Received","<p>Dear [FIRST NAME],</p><p>&nbsp;</p><p>Warm greetings and we thank you for your interest in visiting our beloved georeserve!</p><p>We have received your visit request and you may find below the details of your request to join and visit the [INSERT EXPERIENCE CHOSEN HERE ie: Discovery Trail]:</p><p>Date: [Date of Visit in format yyyy-mm-dd]</p><p>Time: [Time slot chosen]</p><p>Contact Number: [Contact Number of Lead Guest/Main Contact]</p><p>Conservation Fee per Guest: [Conservation Fee/guest]</p><p>Number of Guests: [Number of Guest]</p><p>Total Conservation Fees: [Total fees due in format PHP 00,000.00]</p><p>Kindly take note that this serves as a request summary and is still subject for approval. We will be forwarding an</p><p>approval status notice and the corresponding payment details for processing within forty-eight (48) hours.</p><p>&nbsp;</p><p>Best regards,</p><p>Masungi Georeserve (Garden Cottages)</p><p>Kilometer 45, Marcos Highway,</p><p>Baras, Rizal, Philippines, 1970</p><p>&nbsp;</p><p>Mobile Number: +(63) 908 888 7002</p><p>Website: www.masungigeoreserve.com</p><p>&nbsp;</p><p>*This is a no-reply e-mail. For questions and concerns regarding your visit, kindly e-mail us at</p><p>guestcare@masungigeoreserve.com. For payments, you may reach us at payments@masungigeoreserve.com.</p>","MASUNGI"
"Masungi: Reservation Approved","Masungi Georeserve: Reservation Approval","<p>Greetings from your friends in Masungi Georeserve!</p><p>We sincerely thank you for your interest in visiting our beloved georeserve!</p><p>We have received your request to join and visit the [Experience Name] and have penciled in the requested date and</p><p>time for you (Month day, year, TIME) for [# of guests].</p><p>To secure your preferred visit schedule as per your preferences, kindly settle the amount of [PHP 00,000 (50%/100% of total conservation fee).]</p><p>We should be able to hold the said date and time for you until [Month Day, Year]. Please do send us the receipt of</p><p>your deposit by [Month day, Year 00:00 AM/PM]. Should this period lapse, we hope you understand however,</p><p>that we regrettably will have to automatically forfeit the request due to the limited number of slots. Should you wish</p><p>to add more guests, you may do so, but not exceeding a total of 14 guests per group, when you deposit the payment.</p><p>For Credit Card/Paypal processing, kindly click here to conveniently settle the above amount.</p><p>For the Bank Deposit or Online Banking option, kindly take reference from the details below:</p><p>• Name: Bank of the Philippine Islands (BPI)</p><p>• Account Name: Masungi Georeserve Foundation Inc.</p><p>• Account Number: 3053 49 95 61</p><p>Once done, please furnish us a copy of your transaction receipt via payments@masungigeoreserve.com. Kindly</p><p>indicate your name, date and time of visit. Once the said receipt is reflected on our end, a confirmation will be</p><p>received from us within seven (7) working days.</p><p>For any remaining balance and changes in guest count, this must be settled on (Month Day, Year). Changes to the</p><p>visit made after this period may no longer be accommodated.</p><p>Kindly further take note that smoking, littering, and loitering are not allowed within the site premises. Guests are to</p><p>be accompanied by park rangers at all times for security and conservation purposes. You will find our complete list of</p><p>policies at www.masungigeoreserve.com/georeserve-policies. Please understand that it is our responsibility to</p><p>implement a PHP 3,000.00 penalty as early as the first non-compliance.</p><p>Do let us know if you would have other queries or if there is anything more we can help you with through</p><p>guestcare@masungigeoreserve.com.</p><p>We truly look forward to welcoming you!</p><p>&nbsp;</p><p>Best regards,</p><p>Masungi Georeserve (Garden Cottages)</p><p>Kilometer 45, Marcos Highway,</p><p>Baras, Rizal, Philippines, 1970</p><p>Mobile Numbers: +(63) 908 888 7002</p><p>Website: www.masungigeoreserve.com</p><p>*This is a no-reply e-mail. For questions and concerns regarding your visit, kindly e-mail us at</p><p>guestcare@masungigeoreserve.com. For payments, you may reach us at payments@masungigeoreserve.com.</p>","MASUNGI"
"Masungi: Reservation Rejected","Masungi Georeserve: Rejected Visit Request","<p>Dear [First Name],</p><p>&nbsp;</p><p>Kind greetings from our beloved georeserve!</p><p>We sincerely appreciate your interest to visit our humble sanctuary. However, upon checking the details indicated in</p><p>your visit request for [Date and time], we cannot entertain your request this time due to [reason indicated in textbox in backend].</p><p>Feel free to reach out if you need more assistance.</p><p>&nbsp;</p><p>Best regards,</p><p>&nbsp;</p><p>Masungi Georeserve (Garden Cottages)</p><p>Kilometer 45, Marcos Highway,</p><p>Baras,Rizal, Philippines, 1970</p><p>Mobile Numbers: +(63) 908 888 7002</p><p>Website: www.masungigeoreserve.com</p><p>&nbsp;</p><p>*This is a no-reply e-mail. For questions and concerns regarding your visit, kindly e-mail us at</p><p>guestcare@masungigeoreserve.com. For payments, you may reach us at payments@masungigeoreserve.com.</p>","MASUNGI"
